BATTLE CITY - BOSS FIGHT LOG
----------------------------
Tick 301: Raw=20, Pruned=24, Speedup=0.83x
Tick 302: Raw=20, Pruned=24, Speedup=0.83x
Tick 303: Raw=20, Pruned=24, Speedup=0.83x
Tick 304: Raw=20, Pruned=24, Speedup=0.83x
Tick 305: Raw=20, Pruned=24, Speedup=0.83x
Tick 306: Raw=20, Pruned=24, Speedup=0.83x
Tick 307: Raw=20, Pruned=24, Speedup=0.83x
Tick 308: Raw=20, Pruned=24, Speedup=0.83x
Tick 309: Raw=20, Pruned=24, Speedup=0.83x
Tick 310: Raw=20, Pruned=24, Speedup=0.83x
Tick 311: Raw=20, Pruned=24, Speedup=0.83x
Tick 312: Raw=20, Pruned=24, Speedup=0.83x
Tick 313: Raw=20, Pruned=24, Speedup=0.83x
Tick 314: Raw=20, Pruned=24, Speedup=0.83x
Tick 315: Raw=20, Pruned=24, Speedup=0.83x
Tick 316: Raw=20, Pruned=24, Speedup=0.83x
Tick 317: Raw=20, Pruned=24, Speedup=0.83x
Tick 318: Raw=20, Pruned=24, Speedup=0.83x
Tick 319: Raw=20, Pruned=24, Speedup=0.83x
Tick 320: Raw=20, Pruned=24, Speedup=0.83x
Tick 321: Raw=20, Pruned=24, Speedup=0.83x
Tick 322: Raw=20, Pruned=24, Speedup=0.83x
Tick 323: Raw=20, Pruned=24, Speedup=0.83x
Tick 324: Raw=20, Pruned=24, Speedup=0.83x
Tick 325: Raw=20, Pruned=24, Speedup=0.83x
Tick 326: Raw=20, Pruned=24, Speedup=0.83x
Tick 327: Raw=20, Pruned=24, Speedup=0.83x
Tick 328: Raw=20, Pruned=24, Speedup=0.83x
Tick 329: Raw=20, Pruned=24, Speedup=0.83x
Tick 330: Raw=20, Pruned=24, Speedup=0.83x
Tick 331: Raw=20, Pruned=24, Speedup=0.83x
Tick 332: Raw=20, Pruned=24, Speedup=0.83x
Tick 333: Raw=20, Pruned=24, Speedup=0.83x
Tick 334: Raw=20, Pruned=24, Speedup=0.83x
Tick 335: Raw=20, Pruned=24, Speedup=0.83x
Tick 336: Raw=20, Pruned=24, Speedup=0.83x
Tick 337: Raw=20, Pruned=24, Speedup=0.83x
Tick 338: Raw=20, Pruned=24, Speedup=0.83x
Tick 339: Raw=20, Pruned=24, Speedup=0.83x
Tick 340: Raw=20, Pruned=24, Speedup=0.83x
Tick 341: Raw=20, Pruned=24, Speedup=0.83x
Tick 342: Raw=20, Pruned=24, Speedup=0.83x
Tick 343: Raw=20, Pruned=24, Speedup=0.83x
Tick 344: Raw=20, Pruned=24, Speedup=0.83x
Tick 345: Raw=20, Pruned=24, Speedup=0.83x
Tick 346: Raw=20, Pruned=24, Speedup=0.83x
Tick 347: Raw=20, Pruned=24, Speedup=0.83x
Tick 348: Raw=20, Pruned=24, Speedup=0.83x
Tick 349: Raw=20, Pruned=24, Speedup=0.83x
Tick 350: Raw=20, Pruned=24, Speedup=0.83x
Tick 351: Raw=20, Pruned=24, Speedup=0.83x
Tick 352: Raw=20, Pruned=24, Speedup=0.83x
Tick 353: Raw=20, Pruned=24, Speedup=0.83x
Tick 354: Raw=20, Pruned=24, Speedup=0.83x
Tick 355: Raw=20, Pruned=24, Speedup=0.83x
Tick 356: Raw=20, Pruned=24, Speedup=0.83x
Tick 357: Raw=20, Pruned=24, Speedup=0.83x
Tick 358: Raw=20, Pruned=24, Speedup=0.83x
Tick 359: Raw=20, Pruned=24, Speedup=0.83x
Tick 360: Raw=20, Pruned=24, Speedup=0.83x
Tick 361: Raw=20, Pruned=24, Speedup=0.83x
Tick 362: Raw=20, Pruned=24, Speedup=0.83x
Tick 363: Raw=20, Pruned=24, Speedup=0.83x
Tick 364: Raw=20, Pruned=24, Speedup=0.83x
Tick 365: Raw=20, Pruned=24, Speedup=0.83x
Tick 366: Raw=20, Pruned=24, Speedup=0.83x
Tick 367: Raw=20, Pruned=24, Speedup=0.83x
Tick 368: Raw=20, Pruned=24, Speedup=0.83x
Tick 369: Raw=20, Pruned=24, Speedup=0.83x
Tick 370: Raw=20, Pruned=24, Speedup=0.83x
Tick 371: Raw=20, Pruned=24, Speedup=0.83x
Tick 372: Raw=20, Pruned=24, Speedup=0.83x
Tick 373: Raw=20, Pruned=24, Speedup=0.83x
Tick 374: Raw=20, Pruned=24, Speedup=0.83x
Tick 375: Raw=20, Pruned=24, Speedup=0.83x
Tick 376: Raw=20, Pruned=24, Speedup=0.83x
Tick 377: Raw=20, Pruned=24, Speedup=0.83x
Tick 378: Raw=20, Pruned=24, Speedup=0.83x
Tick 379: Raw=20, Pruned=24, Speedup=0.83x
Tick 380: Raw=20, Pruned=24, Speedup=0.83x
Tick 381: Raw=20, Pruned=24, Speedup=0.83x
Tick 382: Raw=20, Pruned=24, Speedup=0.83x
Tick 383: Raw=20, Pruned=24, Speedup=0.83x
Tick 384: Raw=20, Pruned=24, Speedup=0.83x
Tick 385: Raw=20, Pruned=24, Speedup=0.83x
Tick 386: Raw=20, Pruned=24, Speedup=0.83x
Tick 387: Raw=20, Pruned=24, Speedup=0.83x
Tick 388: Raw=20, Pruned=24, Speedup=0.83x
Tick 389: Raw=20, Pruned=24, Speedup=0.83x
Tick 390: Raw=20, Pruned=24, Speedup=0.83x
Tick 391: Raw=20, Pruned=24, Speedup=0.83x
Tick 392: Raw=20, Pruned=24, Speedup=0.83x
Tick 393: Raw=20, Pruned=24, Speedup=0.83x
Tick 394: Raw=20, Pruned=24, Speedup=0.83x
Tick 395: Raw=20, Pruned=24, Speedup=0.83x
Tick 396: Raw=20, Pruned=24, Speedup=0.83x
Tick 397: Raw=20, Pruned=24, Speedup=0.83x
Tick 398: Raw=20, Pruned=24, Speedup=0.83x
Tick 399: Raw=20, Pruned=24, Speedup=0.83x
Tick 400: Raw=20, Pruned=24, Speedup=0.83x
Tick 401: Raw=20, Pruned=24, Speedup=0.83x
Tick 402: Raw=20, Pruned=24, Speedup=0.83x
Tick 403: Raw=20, Pruned=24, Speedup=0.83x
Tick 404: Raw=20, Pruned=24, Speedup=0.83x
Tick 405: Raw=20, Pruned=24, Speedup=0.83x
Tick 406: Raw=20, Pruned=24, Speedup=0.83x
Tick 407: Raw=20, Pruned=24, Speedup=0.83x
Tick 408: Raw=20, Pruned=24, Speedup=0.83x
Tick 409: Raw=20, Pruned=24, Speedup=0.83x
Tick 410: Raw=20, Pruned=24, Speedup=0.83x
Tick 411: Raw=20, Pruned=24, Speedup=0.83x
Tick 412: Raw=20, Pruned=24, Speedup=0.83x
Tick 413: Raw=20, Pruned=24, Speedup=0.83x
Tick 414: Raw=20, Pruned=24, Speedup=0.83x
Tick 415: Raw=20, Pruned=24, Speedup=0.83x
Tick 416: Raw=20, Pruned=24, Speedup=0.83x
Tick 417: Raw=20, Pruned=24, Speedup=0.83x
Tick 418: Raw=20, Pruned=24, Speedup=0.83x
Tick 419: Raw=20, Pruned=24, Speedup=0.83x
Tick 420: Raw=20, Pruned=24, Speedup=0.83x
Tick 421: Raw=20, Pruned=24, Speedup=0.83x
Tick 422: Raw=20, Pruned=24, Speedup=0.83x
Tick 423: Raw=20, Pruned=24, Speedup=0.83x
Tick 424: Raw=20, Pruned=24, Speedup=0.83x
Tick 425: Raw=20, Pruned=24, Speedup=0.83x
Tick 426: Raw=20, Pruned=24, Speedup=0.83x
Tick 427: Raw=20, Pruned=24, Speedup=0.83x
Tick 428: Raw=20, Pruned=24, Speedup=0.83x
Tick 429: Raw=20, Pruned=24, Speedup=0.83x
Tick 430: Raw=20, Pruned=24, Speedup=0.83x
Tick 431: Raw=20, Pruned=24, Speedup=0.83x
Tick 432: Raw=20, Pruned=24, Speedup=0.83x
Tick 433: Raw=20, Pruned=24, Speedup=0.83x
Tick 434: Raw=20, Pruned=24, Speedup=0.83x
